order_item_id,order_id,product_id,quantity,unit_price
1,1,1,1,32.00
2,1,15,2,11.00
3,2,2,1,28.00
4,2,17,1,16.00
5,3,3,2,18.00
6,3,10,1,9.50
7,4,6,5,3.50
8,4,8,2,8.00
9,5,4,3,12.00
10,5,12,4,6.50
11,6,5,1,24.00
12,6,19,2,13.50
13,7,9,1,22.00
14,7,11,2,8.00
15,8,2,2,28.00
16,8,13,1,19.00
17,9,21,1,15.00
18,9,22,1,18.50
19,10,1,1,32.00
20,10,16,3,7.50
21,11,3,2,18.00
22,11,18,1,21.00
23,12,7,4,2.75
24,12,6,3,3.50
25,13,15,2,11.00
26,13,23,1,9.00
27,14,5,1,24.00
28,14,20,2,9.00
29,15,12,5,6.50
30,15,17,1,16.00
31,16,2,1,28.00
32,16,19,1,13.50
33,17,9,1,22.00
34,18,1,2,32.00
35,18,3,1,18.00
36,19,4,2,12.00
37,19,10,1,9.50
38,20,8,3,8.00
39,20,16,2,7.50
40,21,5,1,24.00
41,21,13,2,19.00
42,22,21,1,15.00
43,22,22,2,18.50
44,23,2,1,28.00
45,23,18,1,21.00
46,24,1,1,32.00
47,24,15,1,11.00
48,24,6,4,3.50
