order_id,customer_id,order_date,shipped_date,status,coupon_code
1,1,2024-03-02,2024-03-04,shipped,SPRING10
2,1,2024-05-18,2024-05-20,shipped,
3,4,2024-02-11,2024-02-13,shipped,
4,7,2024-04-07,,processing,
5,3,2024-01-25,2024-01-28,shipped,WELCOME5
6,6,2024-03-15,2024-03-18,shipped,
7,2,2024-05-01,,pending,
8,10,2024-04-22,2024-04-25,shipped,SPRING10
9,13,2024-05-20,,processing,
10,15,2024-02-28,2024-03-02,shipped,
11,11,2024-06-01,2024-06-03,shipped,
12,17,2024-01-15,2024-01-17,shipped,
13,4,2024-06-10,,pending,
14,18,2024-03-30,2024-04-01,shipped,WELCOME5
15,20,2024-05-12,2024-05-15,shipped,
16,7,2024-02-19,2024-02-22,shipped,
17,9,2024-04-03,,cancelled,
18,16,2024-06-05,2024-06-07,shipped,
19,1,2024-06-14,,processing,SPRING10
20,12,2024-03-21,2024-03-24,shipped,
21,13,2024-04-18,2024-04-20,shipped,
22,3,2024-05-27,,pending,
23,6,2024-06-02,2024-06-04,shipped,SUMMER15
24,10,2024-01-30,2024-02-02,shipped,
