product_id,product_name,category_id,supplier_id,price,cost,quantity_on_hand,reorder_level,discontinued
1,Fiddle-Leaf Fig,1,1,32.00,18.00,14,10,false
2,Monstera Deliciosa,1,1,28.00,15.00,40,15,false
3,Snake Plant,1,4,18.00,9.00,55,20,false
4,Pothos 'Golden',1,4,12.00,5.00,8,12,false
5,ZZ Plant,1,1,24.00,12.00,30,10,false
6,Sunflower Seeds,2,6,3.50,1.20,200,50,false
7,Tomato Seeds 'Roma',2,6,2.75,0.90,5,40,false
8,Tulip Bulbs (10pk),2,6,8.00,3.50,120,30,false
9,Pruning Shears,3,5,22.00,11.00,18,8,false
10,Garden Trowel,3,5,9.50,4.00,60,15,false
11,Hand Cultivator,3,5,8.00,3.50,3,10,false
12,Terracotta Pot 8in,4,2,6.50,2.50,90,25,false
13,Ceramic Planter 'Sage',4,2,19.00,8.00,22,10,false
14,Hanging Basket,4,2,14.00,6.00,0,10,false
15,Potting Soil 20L,5,1,11.00,5.00,75,20,false
16,Compost Mix 10L,5,1,7.50,3.00,48,20,false
17,Watering Can 2gal,6,2,16.00,7.00,33,10,false
18,Drip Hose 25ft,6,5,21.00,10.00,12,8,false
19,All-Purpose Fertilizer,7,4,13.50,6.00,40,15,false
20,Orchid Food,7,4,9.00,4.00,6,10,false
21,Garden Gnome,8,2,15.00,7.00,25,5,false
22,Solar Lantern,8,2,18.50,9.00,9,8,false
23,Cactus Mix Soil,5,1,9.00,4.00,20,15,false
24,Bird Feeder,8,5,17.00,8.00,4,6,true
